# spectral number density of the CMB photon field
# -----------------------------------------------
# nu [Hz],dn/de [m-3 eV-1]
1.096478196143128909e+06,1.388316806865425035e+07
1.122018454301905585e+06,1.420654540072089992e+07
1.148153621496823151e+06,1.453745500793132372e+07
1.174897554939467926e+06,1.487607233241685107e+07
1.202264434617349179e+06,1.522257690254664607e+07
1.230268770812315634e+06,1.557715242809261195e+07
1.258925411794099258e+06,1.593998689761032537e+07
1.288249551693063695e+06,1.631127267808737792e+07
1.318256738556334516e+06,1.669120661691207998e+07
1.348962882591578644e+06,1.707999014621648565e+07
1.380384264602807583e+06,1.747782938964891806e+07
1.412537544622674584e+06,1.788493527163264900e+07
1.445439770745845046e+06,1.830152362916856632e+07
1.479108388168122387e+06,1.872781532624105737e+07
1.513561248436120572e+06,1.916403637088758871e+07
1.548816618912390899e+06,1.961041803499413654e+07
1.584893192461020080e+06,2.006719697687985376e+07
1.621810097358833533e+06,2.053461536673576385e+07
1.659586907437461196e+06,2.101292101498414949e+07
1.698243652461641701e+06,2.150236750362633169e+07
1.737800828749269713e+06,2.200321432064854726e+07
1.778279410038813716e+06,2.251572699755717441e+07
1.819700858609870775e+06,2.304017725011589006e+07
1.862087136662751436e+06,2.357684312235932425e+07
1.905460717963127419e+06,2.412600913395978883e+07
1.949844599757921882e+06,2.468796643102455139e+07
1.995262314968752209e+06,2.526301294040393829e+07
2.041737944669398246e+06,2.585145352759169787e+07
2.089296130853904178e+06,2.645360015830133855e+07
2.137962089502092451e+06,2.706977206380386651e+07
2.187761623949408531e+06,2.770029591011460125e+07
2.238721138568190858e+06,2.834550597111835703e+07
2.290867652767620049e+06,2.900574430572487786e+07
2.344228815319764428e+06,2.968136093914815411e+07
2.398832919019327965e+06,3.037271404840553179e+07
2.454708915684862528e+06,3.108017015213493258e+07
2.511886431509407237e+06,3.180410430483044311e+07
2.570395782768685836e+06,3.254490029559907690e+07
2.630267991895198356e+06,3.330295085154417530e+07
2.691534803926726803e+06,3.407865784588246047e+07
2.754228703337971587e+06,3.487243251090561599e+07
2.818382931264253333e+06,3.568469565589826554e+07
2.884031503126399126e+06,3.651587789012828469e+07
2.951209226666172501e+06,3.736641985102705657e+07
3.019951720401796978e+06,3.823677243768042326e+07
3.090295432513364591e+06,3.912739704975388199e+07
3.162277660168146715e+06,4.003876583197846264e+07
3.235936569296042435e+06,4.097136192432634532e+07
3.311311214825663716e+06,4.192567971800880879e+07
3.388441561391770840e+06,4.290222511743172258e+07
3.467368504525054246e+06,4.390151580824711174e+07
3.548133892335484270e+06,4.492408153164256364e+07
3.630780547700735275e+06,4.597046436501349509e+07
3.715352290971438866e+06,4.704121900916662812e+07
3.801893963205317035e+06,4.813691308220643550e+07
3.890451449942502193e+06,4.925812742026016861e+07
3.981071705534659792e+06,5.040545638520023227e+07
4.073802778040805366e+06,5.157950817952624708e+07
4.168693834703022614e+06,5.278090516857390851e+07
4.265795188015584834e+06,5.401028421022033691e+07
4.365158322401308455e+06,5.526829699226041138e+07
4.466835921509268694e+06,5.655561037763194740e+07
4.570881896148377098e+06,5.787290675767307729e+07
4.677351412871598266e+06,5.922088441359697282e+07
4.786300923225988634e+06,6.060025788637644798e+07
4.897788193684055470e+06,6.201175835523227602e+07
5.011872336272304878e+06,6.345613402492666245e+07
5.128613839913218282e+06,6.493415052206489444e+07
5.248074602497282438e+06,6.644659130061563849e+07
5.370317963702071458e+06,6.799425805686327815e+07
5.495408738575776108e+06,6.957797115401156247e+07
5.623413251903007738e+06,7.119857005666297674e+07
5.754399373371072114e+06,7.285691377540250123e+07
5.888436553555377759e+06,7.455388132172110677e+07
6.025595860743051395e+06,7.629037217351908982e+07
6.165950018614280038e+06,7.806730675143344700e+07
6.309573444801375270e+06,7.988562690624320507e+07
6.456542290345981717e+06,8.174629641760693491e+07
6.606934480075369589e+06,8.365030150439800322e+07
6.760829753919210285e+06,8.559865134690500796e+07
6.918309709188739769e+06,8.759237862117330730e+07
7.079457843840735964e+06,8.963254004577028751e+07
7.244359600749239326e+06,9.172021694126071036e+07
7.413102413008494303e+06,9.385651580268928409e+07
7.585775750291137956e+06,9.604256888537031412e+07
7.762471166286197491e+06,9.827953480429406464e+07
7.943282347242074087e+06,1.005685991474658251e+08
8.128305161640230566e+06,1.029109751035005599e+08
8.317637711025926284e+06,1.053079041038030833e+08
8.511380382022958249e+06,1.077606564796731770e+08
8.709635899559976533e+06,1.102705321346810311e+08
8.912509381336601451e+06,1.128388612326668799e+08
9.120108393558219075e+06,1.154670049017275870e+08
9.332543007969008759e+06,1.181563559545600116e+08
9.549925860213432461e+06,1.209083396255408376e+08
9.772372209557151422e+06,1.237244143249302208e+08
9.999999999999018386e+06,1.266060724105968922e+08
1.023292992280653119e+07,1.295548409776691049e+08
1.047128548050795682e+07,1.325722826665280312e+08
1.071519305237499624e+07,1.356599964895681739e+08
1.096478196143075265e+07,1.388196186771587133e+08
1.122018454301850498e+07,1.420528235432507992e+08
1.148153621496766619e+07,1.453613243710868061e+08
1.174897554939410090e+07,1.487468743194738328e+08
1.202264434617290273e+07,1.522112673501011431e+08
1.230268770812255330e+07,1.557563391763855815e+08
1.258925411794037372e+07,1.593839682343444824e+08
1.288249551693000644e+07,1.630960766760058999e+08
1.318256738556269929e+07,1.668946313858759105e+08
1.348962882591512427e+07,1.707816450209982395e+08
1.380384264602739736e+07,1.747591770751504302e+08
1.412537544622605108e+07,1.788293349677341878e+08
1.445439770745774172e+07,1.829942751579326987e+08
1.479108388168049790e+07,1.872562042847163975e+08
1.513561248436046205e+07,1.916173803332961500e+08
1.548816618912314810e+07,1.960801138286339641e+08
1.584893192460942268e+07,2.006467690566370487e+08
1.621810097358754091e+07,2.053197653136732280e+08
1.659586907437379844e+07,2.101015781850627959e+08
1.698243652461558580e+07,2.149947408532152772e+08
1.737800828749184310e+07,2.200018454360945523e+08
1.778279410038726404e+07,2.251255443567137122e+08
